"(Return Stats:- Interval:1m, Symbol:ZT)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,237.0,237.0,240.0,227.0,260.0,304.0
mean,0.4156118244725732,0.5435126447257392,0.6791666766666661,0.2747797286343617,0.322355775384615,0.8774670894736851
std,0.5401321969854358,0.5930125486014566,0.8690372597790472,0.4740995837761025,0.4053540309228422,0.9325676607607957
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0,0.0625,0.0625,0.0,0.0,0.0
25%,0.125,0.1875,0.1875,0.0625,0.0625,0.25
50%,0.25,0.375,0.4375,0.1875,0.25,0.6875
68%,0.4375,0.5625003839999771,0.625,0.25,0.3125,1.0
90%,0.875,1.0624995200000285,1.375,0.5,0.6875,1.9375
95%,1.1875,1.2749999999999986,2.128124999999999,0.7937499999999993,0.9375,2.7843749999999936
99%,3.0974999999999966,3.6199999999999974,4.701249999999998,2.221250000000012,2.031875000000017,4.846874999999972
99.7%,3.8545000000000016,3.966249433600034,5.800687499999986,4.286000000000001,2.772000621599983,5.6420625000000015
max,4.5625,4.1875,6.5625,4.625,3.9375,5.8125
